Graph,Type,AUPR,Algorithm,Size
GP Mix,Std Dev,0.034657988367516,CAM,100
Sigmoid AM,Mean,0.659688741568499,CAM,100
Sigmoid AM,Std Dev,0.025118553899633,CAM,100
Sigmoid Mix,Mean,0.221273622696181,CAM,100
Sigmoid Mix,Std Dev,0.028818196039448,CAM,100
NN,Mean,0.311301048794929,CAM,100
NN,Std Dev,0.039212843072408,CAM,100
Syntren,Mean,0.185601500419999,CAM,100
Syntren,Std Dev,0.043955644391599,CAM,100
Linear,Mean,0.14,GENIE3,100
Linear,Std Dev,0.02,GENIE3,100
GP AM,Mean,0.39,GENIE3,100
GP AM,Std Dev,0.02,GENIE3,100
GP Mix,Mean,0.34,GENIE3,100
GP Mix,Std Dev,0.02,GENIE3,100
Sigmoid AM,Mean,0.32,GENIE3,100
Sigmoid AM,Std Dev,0.02,GENIE3,100
Sigmoid Mix,Mean,0.18,GENIE3,100
Sigmoid Mix,Std Dev,0.02,GENIE3,100
NN,Mean,0.19,GENIE3,100
NN,Std Dev,0.01,GENIE3,100
Syntren,Mean,0.13,GENIE3,100
Syntren,Std Dev,0.02,GENIE3,100
Linear,Mean,0.150802590101496,SAM-mse-linear,100
Linear,Std Dev,0.021870260168733,SAM-mse-linear,100
GP AM,Mean,0.137849086042562,SAM-mse-linear,100
GP AM,Std Dev,0.010249988484811,SAM-mse-linear,100
GP Mix,Mean,0.092497428711166,SAM-mse-linear,100
GP Mix,Std Dev,0.014214071252621,SAM-mse-linear,100
Sigmoid AM,Mean,0.155011536644108,SAM-mse-linear,100
Sigmoid AM,Std Dev,0.025252980770289,SAM-mse-linear,100
Sigmoid Mix,Mean,0.159893150470981,SAM-mse-linear,100
Sigmoid Mix,Std Dev,0.017137367401936,SAM-mse-linear,100
NN,Mean,0.180155632810534,SAM-mse-linear,100
NN,Std Dev,0.017364347393252,SAM-mse-linear,100
Syntren,Mean,0.093556893381914,SAM-mse-linear,100
Syntren,Std Dev,0.01682363514209,SAM-mse-linear,100
Linear,Mean,0.149124614114011,SAM-mse,100
Linear,Std Dev,0.015768239275179,SAM-mse,100
GP AM,Mean,0.24557500102072,SAM-mse,100
GP AM,Std Dev,0.01857381179568,SAM-mse,100
GP Mix,Mean,0.110432098524338,SAM-mse,100
GP Mix,Std Dev,0.019010085408155,SAM-mse,100
Sigmoid AM,Mean,0.181359762812246,SAM-mse,100
Sigmoid AM,Std Dev,0.023998361354911,SAM-mse,100
