lr,dlr,lambda1,lambda2,nh,dnh,losstype,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,5.0,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6373950094919147,130.0,91.0,69.0,55.0,49.0,38.0,34.0,29.0,31.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5655175147522413,48.0,44.0,35.0,34.0,36.0,35.0,37.0,42.0,43.0,False,False,False,False,False,False,False,True,True
0.01,0.01,10.0,0.01,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6743576895515776,71.0,51.0,45.0,35.0,30.0,24.0,28.0,25.0,38.0,False,False,False,False,False,False,False,False,False
0.01,0.01,10.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6863301392316385,85.0,58.0,48.0,36.0,30.0,26.0,25.0,30.0,35.0,False,False,False,False,False,False,False,False,True
0.01,0.01,1.0,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5956484542879305,309.0,283.0,269.0,255.0,240.0,220.0,199.0,166.0,118.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5382332996576626,49.0,41.0,36.0,36.0,35.0,36.0,39.0,44.0,44.0,False,False,False,False,False,False,True,True,True
0.01,0.01,100.0,0.001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5442236731869419,52.0,40.0,36.0,33.0,35.0,38.0,39.0,42.0,44.0,False,False,False,False,False,False,False,True,True
0.01,0.01,1.0,0.05,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.5855425413916678,308.0,285.0,264.0,246.0,227.0,202.0,182.0,151.0,101.0,False,False,False,False,False,False,False,False,False
0.01,0.01,100.0,0.1,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.535256007306893,47.0,42.0,38.0,36.0,36.0,37.0,43.0,44.0,44.0,False,False,False,False,False,False,True,True,True
0.01,0.01,10.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,,False,,,False,0.5,False,0.6690534994043275,84.0,62.0,47.0,38.0,34.0,29.0,26.0,29.0,34.0,False,False,False,False,False,False,False,False,False
