lr,dlr,lambda1,lambda2,nh,dnh,losstype,sampletype,train_epochs,test_epochs,dagstart,dagloss,dagpenalization,dagpenalization_increase,use_filter,filter_threshold,linear,AUPR,SHD 0.1,SHD 0.2,SHD 0.3,SHD 0.4,SHD 0.5,SHD 0.6,SHD 0.7,SHD 0.8,SHD 0.9,DAG 0.1,DAG 0.2,DAG 0.3,DAG 0.4,DAG 0.5,DAG 0.6,DAG 0.7,DAG 0.8,DAG 0.9
0.01,0.01,50.0,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5605225564389186,51.0,43.0,39.0,35.0,37.0,37.0,40.0,43.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,10.0,0.0001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6478159677261116,78.0,50.0,41.0,36.0,37.0,34.0,36.0,34.0,35.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.1,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.38183528708042846,231.0,44.0,40.0,41.0,43.0,43.0,44.0,44.0,44.0,False,True,True,True,True,True,True,True,True
0.01,0.01,100.0,0.1,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.46314466480414757,47.0,44.0,38.0,42.0,43.0,41.0,44.0,43.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,1.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6113667696498104,162.0,113.0,71.0,46.0,37.0,28.0,30.0,40.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,5.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6251354738825657,99.0,59.0,48.0,43.0,40.0,39.0,33.0,34.0,36.0,False,False,False,False,True,True,True,True,True
0.01,0.01,1.0,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6143579626641189,166.0,111.0,71.0,43.0,33.0,31.0,29.0,33.0,43.0,False,False,False,False,True,True,True,True,True
0.01,0.01,5.0,0.005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6472141154387056,95.0,57.0,46.0,43.0,37.0,34.0,32.0,33.0,37.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.5,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5259754782629777,140.0,68.0,38.0,35.0,34.0,36.0,42.0,44.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,10.0,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6252764422498339,69.0,50.0,42.0,38.0,36.0,34.0,33.0,34.0,38.0,False,False,False,False,True,True,True,True,True
0.01,0.01,50.0,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5265259296968425,51.0,44.0,40.0,37.0,37.0,37.0,39.0,42.0,43.0,False,False,False,False,True,True,True,True,True
0.01,0.01,1.0,0.05,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6182275777010705,166.0,102.0,66.0,45.0,34.0,32.0,29.0,37.0,44.0,False,False,False,False,True,True,True,True,True
0.01,0.01,5.0,0.01,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.6183636413037832,86.0,62.0,50.0,46.0,41.0,36.0,33.0,37.0,35.0,False,False,False,False,True,True,True,True,True
0.01,0.01,0.5,0.0005,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5326952750144014,141.0,73.0,45.0,32.0,37.0,39.0,40.0,44.0,44.0,False,False,False,True,True,True,True,True,True
0.01,0.01,0.5,0.001,200,200,fgan,sigmoidproba,10000,1000,0.5,True,0,0.01,False,0.5,False,0.5353759091839893,137.0,74.0,44.0,33.0,36.0,37.0,40.0,44.0,44.0,False,False,False,True,True,True,True,True,True
